gene,pLI
ENTPD1,0.519393999
CYP2C18,5.27E-08
TLL2,2.18E-19
CYP2C9,2.54E-08
CYP2C19,2.54E-10
OPALIN,0.060642755
TCTN3,6.44E-08
SORBS1,2.14E-08
CC2D2B,2.52E-05
DNTT,8.54E-05
CCNJ,0.983940396
ALDH18A1,0.855933082
CYP2C8,5.35E-12
TBC1D12,0.00264365
BLNK,0.990011102
PDLIM1,1.38E-05
C10orf129,0.011210193
HELLS,0.999418431
C10orf62,9.87E-05
MORN4,0.182745761
EXOSC1,1.88E-07
FRAT1,0.271480885
LCOR,0.913200262
C10orf12,0.979876887
HOGA1,7.33E-06
PGAM1,0.623538729
PI4K2A,0.980219633
UBTD1,0.777525004
ARHGAP19,1.63E-07
PIK3AP1,0.999656619
ANKRD2,1.01E-06
TM9SF3,0.999654187
SLIT1,0.999930815
MMS19,0.831821999
ZDHHC16,0.018065827
ARHGAP19-SLIT1,2.95E-07
FRAT2,0.630848044
RRP12,4.36E-06
SLC25A28,0.765079078
GOLGA7B,0.010488375
HPS1,5.99E-07
DNMBP,1.15E-09
COX15,2.16E-09
SFRP5,1.17E-05
CRTAC1,0.000140635
AVPI1,1.07E-05
LOXL4,2.14E-09
PYROXD2,8.99E-08
R3HCC1L,2.88E-05
ZFYVE27,0.003703953
ABCC2,3.36E-29
ENTPD7,2.57E-08
HPSE2,1.85E-06
CUTC,0.020486565
NKX2-3,0.802089179
CNNM1,0.906070593
GOT1,0.129221467
HIF1AN,0.867690855
PKD2L1,6.57E-17
SEMA4G,0.000802235
LZTS2,0.875482096
CPN1,1.33E-06
PDZD7,0.722769808
WNT8B,0.485778277
SEC31B,1.30E-24
NDUFB8,0.35052858
C10orf2,0.99031303
FAM178A,0.016447397
SFXN3,1.27E-11
SCD,0.887398176
KAZALD1,0.000335811
MRPL43,0.000110896
CHUK,0.998703705
CWF19L1,5.69E-09
PAX2,0.120234372
ERLIN1,0.931709474
BLOC1S2,0.05602493
PPRC1,0.999999328
KCNIP2,0.018688178
TLX1,0.463723105
FGF8,0.927194849
LBX1,0.805820729
NOLC1,0.246823454
MGEA5,0.714103542
C10orf76,0.055339807
FBXW4,0.00069101
HPS6,0.301742442
LDB1,0.879454005
PITX3,0.768360298
ELOVL3,0.010089351
BTRC,0.863167824
NPM3,0.859176476
DPCD,0.002703404
GBF1,4.12E-07
POLL,2.25E-11
TLX1NB,0.019335617
ARL3,0.716101007
TMEM180,0.000178664
TRIM8,0.992012341
SUFU,0.999161485
FBXL15,0.002101117
C10orf32,0.031637861
PCGF6,0.000251716
CUEDC2,0.071907438
NT5C2,0.052197863
INA,0.292917015
CYP17A1,0.035030608
AS3MT,5.09E-07
C10orf95,0.011391234
ACTR1A,0.941234074
NFKB2,0.999696458
CNNM2,0.994106431
PSD,0.987334022
RP11-332O19.5,0.002399072
SFXN2,0.001084574
WBP1L,0.909387314
CALHM2,5.29E-07
NEURL,0.537569854
SH3PXD2A,0.232738023
XPNPEP1,0.964214097
PDCD11,0.468448698
GSTO2,1.67E-07
USMG5,0.2433522
CALHM1,9.36E-05
WDR96,1.11E-14
TAF5,0.999555181
SLK,0.428398338
SORCS3,0.325134264
SORCS1,0.969565842
SFR1,0.000222755
COL17A1,5.82E-11
ITPRIP,1.35E-05
GSTO1,0.015037843
OBFC1,1.33E-05
CCDC147,3.42E-18
TECTB,5.95E-09
ACSL5,0.016763711
TCF7L2,0.989605029
CASP7,0.000373926
ADD3,0.952357437
DUSP5,0.025593878
MXI1,0.707739926
NRAP,2.59E-31
SMC3,0.999999999
PDCD4,0.000577684
HABP2,1.17E-14
SMNDC1,0.275797515
GPAM,0.000580579
VTI1A,0.413424038
SHOC2,0.991705192
ZDHHC6,0.00067586
NHLRC2,0.000339055
TRUB1,0.000523645
C10orf82,0.003878381
TDRD1,0.999760762
FAM160B1,0.999984985
DCLRE1A,4.68E-08
PNLIPRP3,2.75E-09
AFAP1L2,0.446972664
PNLIPRP1,6.28E-10
PLEKHS1,1.17E-15
ABLIM1,0.951991965
CCDC172,0.008329616
PNLIPRP2,2.86E-05
PNLIP,0.009354471
C10orf118,0.258534202
ATRNL1,0.995631864
GFRA1,0.119577143
VWA2,2.58E-13
KCNK18,0.000349561
RGS10,0.601559968
EMX2,0.941755033
KIAA1598,0.886314077
RAB11FIP2,0.910707841
FAM45A,0.000243199
CACUL1,0.846686967
TIAL1,0.998790732
VAX1,0.534984091
NANOS1,0.180809141
SFXN4,0.00014832
EIF3A,1
PDZD8,0.997263557
PRDX3,0.221688706
SLC18A2,0.971755219
PRLHR,0.000426454
FAM204A,0.050712422
GRK5,0.984107718
HSPA12A,0.980307172
NSMCE4A,0.085946995
INPP5F,0.001468831
CUZD1,5.28E-06
HTRA1,0.016947547
ARMS2,0.039182646
PLEKHA1,0.017777338
BAG3,0.53203443
ATE1,0.51135672
FAM24A,0.167839102
SEC23IP,0.373415108
PPAPDC1A,0.184092341
TACC2,3.52E-19
MCMBP,0.998215055
DMBT1,7.36E-32
FAM24B,0.033649941
WDR11,0.070328055
BTBD16,3.41E-12
FGFR2,0.999752493
C10orf120,1.30E-06
CTBP2,0.655184958
LHPP,1.60E-06
CHST15,0.17782212
HMX2,0.000305119
ACADSB,2.99E-08
METTL10,0.371286245
CPXM2,1.83E-10
PSTK,0.004110024
C10orf88,0.038585003
IKZF5,0.42273684
ZRANB1,0.99983985
FAM53B,0.400479602
OAT,0.000721947
HMX3,0.772661528
FAM175B,0.086852197
GPR26,0.627337377
C10orf137,0.000606746
BUB3,0.554686127
MKI67,4.17E-16
FAM196A,0.849026865
UROS,0.012274951
MGMT,9.21E-09
BNIP3,0.048726846
DHX32,6.97E-07
BCCIP,0.001654858
CLRN3,0.140040446
MMP21,3.21E-07
TCERG1L,0.000228294
ADAM12,0.341608447
GLRX3,0.629710155
FOXI2,1.60E-05
FANK1,0.000115654
DOCK1,0.36842317
C10orf90,6.06E-11
PTPRE,0.010010042
EBF3,0.998590014
NPS,0.00010008
NKX6-2,0.013461307
TUBGCP2,5.05E-05
PRAP1,0.000246549
TTC40,4.18E-25
GPR123,0.512155118
C10orf91,0.074307635
ADAM8,1.48E-07
CALY,0.706613402
STK32C,0.309709769
LRRC27,9.75E-14
PWWP2B,0.716153887
INPP5A,0.942238414
FUOM,0.001601072
DPYSL4,5.86E-06
JAKMIP3,0.053931825
VENTX,3.99E-09
ZNF511,0.014444704
UTF1,0.150834366
KNDC1,4.44E-05
ECHS1,0.51980084
RP11-108K14.8,0.029365312
SPRN,0.386597169
SYCE1,0.000763635
PAOX,0.000435556
CYP2E1,0.265925587
MTG1,0.062671961
FRG2B,0.152494212
B4GALNT4,0.816930491
IFITM2,0.2993759
SCGB1C1,3.34E-05
SIRT3,2.70E-05
PTDSS2,0.000109483
RIC8A,0.000378553
RNH1,0.000213432
SIGIRR,0.005308889
IFITM3,0.199202473
PSMD13,0.993513212
PKP3,0.194350415
BET1L,0.378367597
IFITM5,0.000115705
ANO9,4.59E-11
ODF3,0.586974862
LRRC56,0.000110646
HRAS,0.007941049
ATHL1,3.53E-09
IFITM1,0.221686063
EPS8L2,0.001827008
RPLP2,0.708517553
PIDD,1.60E-09
TALDO1,0.000175588
PNPLA2,0.001141193
SCT,0.406650722
IRF7,3.31E-07
CD151,0.001643112
TMEM80,4.91E-05
DEAF1,0.000193157
RASSF7,3.45E-06
DRD4,7.58E-06
PDDC1,0.617289948
CEND1,0.584353271
CDHR5,1.31E-10
EFCAB4A,0.001858936
SLC25A22,0.568405565
C11orf35,1.19E-17
PHRF1,0.948919011
CTSD,0.08918586
SYT8,7.59E-13
DUSP8,0.684472965
KRTAP5-6,0.00039398
KRTAP5-3,0.262910457
BRSK2,0.779570081
MUC5B,0.999999706
POLR2L,0.532880511
KRTAP5-1,0.000129616
MOB2,0.641498729
KRTAP5-5,1.15E-05
KRTAP5-4,0.006793706
TSPAN4,2.52E-06
CHID1,0.000725517
KRTAP5-2,0.000625083
MUC6,1.09E-32
MUC2,4.55E-05
TOLLIP,0.522906268
AP2A2,0.999932215
KCNQ1,2.45E-05
INS,0.730321288
TSPAN32,0.000537261
TSSC4,0.013278189
INS-IGF2,0.036441413
TRPM5,7.64E-17
TNNT3,0.00472932
ASCL2,0.38890041
TH,0.004098744
TNNI2,0.086152741
CD81,0.950521598
PHLDA2,0.024259662
IGF2,0.025302718
MRPL23,1.46E-06
CDKN1C,0.52282169
LSP1,0.259641696
SLC22A18,0.001923068
CARS,2.96E-06
OR52K2,1.59E-06
ART5,0.017226475
NUP98,0.999999979
STIM1,0.926766743
ZNF195,0.731668925
CHRNA10,1.04E-05
OR52M1,4.69E-06
PGAP2,0.15222416
TRIM21,0.093051815
OR52K1,1.75E-05
ART1,1.54E-09
OR52B4,0.000229945
OSBPL5,0.000848898
NAP1L4,0.99573103
MRGPRE,4.76E-05
RRM1,0.999994804
RHOG,0.600682842
OR51S1,0.00381804
C11orf40,4.85E-08
OR51E1,0.000349921
MMP26,0.022171884
OR52I2,0.074557837
OR51A2,0.645582291
OR52R1,6.92E-06
OR52I1,0.062056089
OR51D1,0.001709584
OR51E2,0.003691226
OR51T1,0.019722347
OR51G1,6.16E-05
OR51A7,1.66E-06
OR51F2,0.000112097
OR51F1,0.053940335
OR51L1,0.015580366
TRIM68,2.15E-11
OR51G2,0.003100737
OR51A4,0.239072288
OR51B5,0.000317629
OR51B2,0.007355186
HBG1,0.02977947
OR52D1,0.003674386
OR52J3,0.001012548
OR51I2,0.000888957
OR52E2,0.000427749
HBB,1.02E-08
OR52A1,0.001070019
OR51Q1,0.003685054
OR51V1,0.003714741
HBE1,0.010814424
OR52A5,0.000168134
OR51B6,0.000174878
OR51B4,0.012339243
HBD,0.000155108
OR51I1,0.002377027
HBG2,0.24130351
OR51M1,0.253410704
TRIM6,3.79E-10
OR52N5,0.049291964
OR52N1,0.020478535
OR52N4,3.29E-05
OR52E4,4.45E-07
TRIM6-TRIM34,2.31E-11
OR52E6,0.068094888
OR52N2,7.31E-05
TRIM34,0.00020889
OR56A4,0.307699476
OR52B6,0.073588528
TRIM5,4.37E-08
UBQLNL,3.53E-09
OR56B1,1.27E-08
OR52H1,0.013070599
UBQLN3,0.003828068
OR52E8,0.016692038
OR52L1,0.00634036
OR56A3,7.11E-08
TRIM22,3.16E-12
PRKCDBP,4.93E-05
RRP8,6.40E-06
OR56B3P,9.25E-07
ARFIP2,0.94293271
ILK,0.042195966
TRIM3,0.952560875
TIMM10B,0.00115871
OR52W1,0.000404093
HPX,0.004121447
CNGA4,9.86E-05
CCKBR,9.67E-05
C11orf42,3.05E-06
FAM160A2,0.999881559
OR56A1,0.263101577
OR56B4,1.19E-05
DNHD1,1.33E-18
APBB1,0.986993652
OR52B2,5.18E-05
SMPD1,4.20E-07
MRPL17,0.464121316
PPFIBP2,1.42E-18
OR2D2,5.51E-07
TPP1,0.025756063
NLRP14,9.15E-23
SYT9,0.331363732
OR2AG2,0.216721902
OR2AG1,8.88E-06
OR10A4,2.78E-05
RBMXL2,0.677816821
TAF10,0.776130899
OR6A2,0.267851555
DCHS1,0.999995438
ZNF215,4.25E-13
OR10A2,0.000920372
OR10A5,0.008422131
OLFML1,0.000497437
OR2D3,0.003089507
CYB5R2,2.71E-05
ZNF214,2.50E-14
OR10A3,4.36E-09
ST5,0.999989779
SCUBE2,1.49E-13
ASCL3,0.008283971
OR5P2,0.010138324
OVCH2,7.83E-14
OR10A6,8.59E-09
NLRP10,5.10E-12
RIC3,0.012261351
RPL27A,0.867199854
TMEM9B,0.911174543
OR5P3,0.615021497
AKIP1,1.86E-05
LMO1,0.477078993
C11orf16,4.79E-06
STK33,0.000137426
EIF3F,0.669067338
NRIP3,2.35E-05
TUB,0.471428314
DENND5A,0.991775356
ZNF143,0.021966996
USP47,0.999999875
LYVE1,4.22E-07
AMPD3,1.33E-08
GALNT18,0.047685176
CTR9,0.999999447
DKK3,1.89E-05
ADM,0.576630086
IPO7,0.999998375
RNF141,0.000702153
TMEM41B,0.020189931
CSNK2A3,1.32E-11
SWAP70,0.348844347
SBF2,0.38005409
WEE1,0.99710577
MRVI1,0.001841215
CALCA,0.001395557
PSMA1,0.947988405
PIK3C2A,0.14870309
C11orf58,0.709037216
RRAS2,0.674254314
INSC,1.34E-09
FAR1,0.879567462
COPB1,0.99976344
PDE3B,0.00361647
MICALCL,5.42E-16
ARNTL,0.987642967
SOX6,0.99953096
MICAL2,0.132223746
BTBD10,0.477320145
CYP2R1,3.05E-09
PARVA,0.34376402
CALCB,0.057876195
PTH,0.270149119
PLEKHA7,0.000173041
RPS13,0.960207217
RP11-113D6.6,0.00055618
MRGPRX4,0.001818565
HPS5,9.08E-06
SAAL1,0.000128877
MRGPRX3,2.86E-08
NUCB2,8.59E-08
KCNC1,0.709972136
SAA4,0.014635941
ABCC8,3.94E-15
TPH1,2.67E-05
SAA2,0.028655399
SAA1,0.181814611
KCNJ11,0.31472413
USH1C,2.72E-12
GTF2H1,0.995912256
SERGEF,2.22E-10
MYOD1,2.68E-05
RP11-113D6.10,0.34890553
NELL1,2.17E-09
HTATIP2,3.64E-12
DBX1,0.147780537
UEVLD,1.09E-07
MRGPRX1,0.083147317
PRMT3,6.29E-12
LDHC,0.000944178
PTPN5,0.000777688
E2F8,0.995041279
TMEM86A,0.032960138
ZDHHC13,2.55E-14
CSRP3,0.002208868
LDHA,0.05865759
LDHAL6A,0.000200256
TSG101,0.982720287
IGSF22,1.20E-20
SPTY2D1,0.997915214
NAV2,0.997517125
MRGPRX2,0.002490612
SLC6A5,1.85E-12
FSHB,0.012899169
KCNA4,0.946234021
KIF18A,0.149441083
BBOX1,1.50E-12
FIBIN,0.308532919
FANCF,0.003814534
ANO3,4.09E-13
ANO5,9.89E-16
MUC15,3.93E-05
LIN7C,0.03006523
LGR4,0.994112645
METTL15,0.000155431
GAS2,0.026289766
SLC17A6,0.857098873
CCDC34,4.91E-07
SLC5A12,2.15E-05
SVIP,0.011431624
BDNF,0.946719308
LUZP2,8.71E-05
PAX6,0.998807897
QSER1,0.999935659
CCDC73,1.19E-13
HIPK3,0.893187377
CSTF3,0.9964343
FBXO3,0.969760026
DNAJC24,7.25E-07
IMMP1L,0.020713165
MPPED2,0.970565202
EIF3M,0.981660594
DEPDC7,1.25E-05
TCP11L1,0.088046987
KIAA1549L,0.003708229
DCDC1,9.13E-05
PRRG4,0.181401743
ELP4,0.012558281
ARL14EP,0.151697478
CD59,0.068380919
RCN1,0.016338564
LDLRAD3,0.02508931
CAPRIN1,0.999767662
NAT10,1.05E-13
FJX1,0.823951147
TRAF6,0.996923826
CAT,1.48E-06
CD44,0.008269385
TRIM44,0.163653747
LMO2,0.753952193
APIP,4.20E-10
ELF5,0.019086514
PRR5L,0.078768861
RAG1,0.001898001
SLC1A2,0.907792747
PDHX,0.001370288
PAMR1,4.63E-21
EHF,0.978731449
COMMD9,0.635260482
ABTB2,0.12465044
HSD17B12,0.005554478
LRRC4C,0.953730869
C11orf74,0.007620751
ALKBH3,2.56E-09
CD82,0.004961833
CHST1,0.820990319
SLC35C1,0.147014852
TSPAN18,0.161860431
TP53I11,0.067174271
PRDM11,0.942263571
ACCS,0.000171666
RAG2,0.010519312
SYT13,0.220165779
ALX4,0.234887704
API5,0.999555019
TTC17,0.999727594
ACCSL,2.58E-11
EXT2,2.46E-07
ARFGAP2,0.562990971
MAPK8IP1,0.999000973
DGKZ,0.998142634
ZNF408,7.89E-06
ARHGAP1,0.185564722
CREB3L1,0.39937941
C11orf94,0.000289638
CHRM4,0.916843942
CRY2,0.993283036
PHF21A,0.999675486
F2,0.959943188
AMBRA1,0.999971641
C11orf49,5.45E-07
CKAP5,0.999999998
GYLTL1B,8.27E-12
MDK,0.022432784
LRP4,0.100208804
ATG13,0.984296607
PEX16,0.001746608
HARBI1,0.005701341
CELF1,0.998616885
NUP160,0.023979153
MTCH2,0.166788403
FAM180B,0.315838165
PSMC3,0.979199713
PACSIN3,0.016793048
KBTBD4,0.018074364
NDUFS3,0.047137034
NR1H3,0.856185983
AGBL2,6.81E-12
MADD,0.000901823
SPI1,0.897230517
RAPSN,0.032644546
PTPMT1,0.459152455
MYBPC3,1.35E-06
FNBP4,0.999993423
ACP2,0.000525977
SLC39A13,0.011852031
DDB2,0.005117907
C1QTNF4,0.679081391
OR4C3,0.008745131
OR4A47,1.43E-05
OR4C46,8.77E-07
TRIM49B,7.56E-05
TRIM48,1.77E-14
OR4C12,0.23821319
FOLH1,0.253396885
OR4B1,0.010938019
OR4C13,8.59E-09
OR4S1,0.004617191
OR4X1,0.000157675
OR4A16,2.61E-05
OR4X2,1.11E-08
TRIM64C,0.012116567
OR4C15,3.39E-11
OR4C5,0.016567663
PTPRJ,2.39E-05
OR4C6,1.08E-05
OR5W2,0.048812322
OR4S2,0.001038603
OR4C11,1.41E-06
OR4P4,0.057383801
OR10AG1,0.000135734
OR5AS1,0.255635873
OR5L2,0.000593861
OR8H2,0.000858972
OR5D18,0.000954998
OR8J3,0.065557023
OR5L1,5.94E-07
TRIM51,1.05E-05
OR8I2,0.000129181
OR8H3,7.95E-07
OR5D13,1.74E-07
OR5I1,0.237661332
OR5D16,2.34E-07
OR5D14,0.000814345
OR5F1,0.006473814
OR8K5,4.11E-07
OR5AR1,0.000179721
OR8J1,4.47E-06
OR8K3,4.46E-06
OR5T2,0.001079075
OR5M1,0.047382673
OR5T3,1.28E-05
OR5J2,0.000124682
OR5AP2,0.069223233
OR8U1,0.013454141
OR5M11,0.00076255
OR5M8,0.009733883
OR5M9,0.007750943
OR5R1,2.19E-05
OR8K1,0.002039164
OR8H1,1.47E-05
OR5M10,0.007727632
OR9G1,0.000995316
OR5T1,0.00013089
OR5M3,1.25E-05
P2RX3,0.011497581
SLC43A1,7.85E-05
UBE2L6,0.01401033
YPEL4,0.805554819
SMTNL1,6.40E-06
OR5AK2,2.88E-07
LRRC55,0.677224186
SLC43A3,0.000317449
CLP1,0.937604668
TNKS1BP1,0.02971088
APLNR,0.43245966
PRG2,1.37E-05
OR9G4,0.000306988
SSRP1,0.999693192
MED19,0.683790051
PRG3,0.000177441
SERPING1,0.972837399
ZDHHC5,0.999924209
TIMM10,0.009494762
RTN4RL2,0.975814588
OR5B17,0.077236341
OR5B3,0.001001727
OR5B2,0.00563537
OR6Q1,0.004863354
OR9Q1,0.008594897
CNTF,0.000349252
OR5B21,9.45E-05
C11orf31,0.000781712
OR1S1,0.0079009
OR1S2,0.00106333
LPXN,0.017200443
ZFP91,0.983773003
TMX2,0.429913785
OR9I1,0.612331301
OR10W1,0.047326021
OR10Q1,0.254569448
OR5B12,0.310930146
OR9Q2,1.30E-07
CTNND1,0.995312685
OR5AN1,0.001177313
OR5A2,0.001403982
OR5A1,2.03E-05
FAM111A,3.22E-09
GLYAT,8.04E-05
OR4D9,4.89E-05
DTX4,0.594144205
STX3,0.630609378
MRPL16,0.003108656
OR4D6,0.015012118
FAM111B,7.17E-11
OR4D10,0.064012392
OR10V1,0.001681465
MPEG1,3.46E-12
GLYATL2,9.10E-11
OSBP,0.999542555
GLYATL1,6.27E-05
PATL1,0.991973626
OR4D11,0.000895035
CCDC86,0.001477357
MS4A7,9.27E-06
MS4A13,0.053865836
PLAC1L,0.021713896
MS4A3,4.21E-05
MS4A6E,0.720551081
MS4A4E,0.515839924
GIF,0.43420207
MS4A10,1.79E-08
MS4A6A,1.49E-09
MS4A5,0.009204538
MS4A8,0.002609212
MS4A12,4.96E-05
MS4A2,6.50E-05
TCN1,3.86E-16
PTGDR2,0.184110369
MS4A4A,0.000743082
MS4A14,2.19E-16
MS4A1,0.015388169
MS4A15,0.038468197
CYB561A3,0.058731723
TMEM216,0.002019295
PPP1R32,2.68E-07
TMEM132A,2.89E-06
TMEM109,0.051890547
TMEM138,0.531121157
SLC15A3,3.66E-07
DDB1,0.999992284
PRPF19,0.998566696
PGA5,0.00127358
VPS37C,0.197171488
CPSF7,0.991330175
PGA3,0.645340634
DAK,2.79E-07
CD6,0.004304658
ZP1,4.96E-10
VWCE,5.90E-13
SDHAF2,6.98E-05
CD5,2.73E-05
RAB3IL1,0.000894541
SCGB1D2,0.096113681
MYRF,0.999847803
SYT7,0.904578639
FADS3,0.048872245
FADS2,0.990052486
SCGB2A1,0.056401295
DAGLA,0.953148342
SCGB2A2,0.008924277
FTH1,0.918437495
FADS1,0.383801127
TMEM258,0.000864646
BEST1,4.89E-08
INCENP,0.996086665
SCGB1D1,1.19E-05
ASRGL1,0.000386788
SCGB1D4,0.002902192
FEN1,3.48E-05
SCGB1A1,0.007661332
UBXN1,0.76841751
TUT1,9.99E-06
HNRNPUL2,0.999925395
LRRN4CL,5.44E-05
METTL12,0.009460264
TTC9C,0.000139735
C11orf83,0.000546458
GANAB,0.99994841
MTA2,0.978013018
C11orf48,1.54E-05
B3GAT3,0.000286975
EML3,0.394340909
RP11-831H9.11,0.079166678
EEF1G,0.998058441
INTS5,0.999284368
GNG3,0.52722723
ROM1,0.00326883
BSCL2,0.008525411
AHNAK,0.344567387
HRASLS5,0.00012337
POLR2G,0.006465395
RARRES3,0.000504117
SLC22A6,2.19E-05
SLC22A8,1.50E-10
WDR74,2.46E-08
ZBTB3,0.243280561
SLC3A2,0.923234161
STX5,0.362948406
NXF1,0.998990475
TMEM223,0.012435531
TMEM179B,0.010781151
SLC22A10,1.54E-14
CHRM1,0.931378497
SLC22A24,0.000186761
LGALS12,2.69E-09
TAF6L,0.819819294
SLC22A9,3.62E-14
HRASLS2,0.018273804
SLC22A25,4.63E-13
PPP1R14B,0.709204424
AP000721.4,0.136411776
RCOR2,0.115753697
STIP1,0.999887764
OTUB1,0.945238199
NUDT22,0.000315497
VEGFB,1.52E-06
DNAJC4,6.44E-06
ATL3,0.000317252
TRPT1,0.008675849
FERMT3,0.257005091
MACROD1,0.006624769
COX8A,0.49140758
PLA2G16,1.19E-05
FKBP2,0.307159556
RTN3,0.040022823
MARK2,0.999900855
FLRT1,0.546319767
C11orf84,0.471418765
NAA40,0.005446684
PRDX5,0.003140381
NRXN2,0.999895574
KCNK4,0.0424812
PLCB3,0.9683767
RASGRP2,0.995280465
RPS6KA4,0.99947454
ESRRA,0.527244157
PYGM,2.62E-08
TRMT112,0.141017363
TEX40,0.477043302
CDC42BPG,1.41E-17
CCDC88B,0.000929045
MAP4K2,6.48E-05
BAD,0.000414579
GPR137,0.48439827
MEN1,0.999190001
SF1,0.998855017
SLC22A11,5.80E-05
SLC22A12,4.90E-06
TM7SF2,0.000447934
SPDYC,0.001855149
CDCA5,0.070716081
PPP2R5B,0.932458812
C11orf85,0.007357188
ZNHIT2,0.200832999
EHD1,0.894832022
ZFPL1,0.654739309
ATG2A,0.99992273
GPHA2,2.07E-05
NAALADL1,3.83E-12
FAU,0.768145175
SAC3D1,4.62E-05
SNX15,0.000705751
ARL2,0.00739854
SYVN1,0.996650378
VPS51,6.38E-05
BATF2,0.029531877
MRPL49,0.042302919
FRMD8,0.084290943
SIPA1,0.027905143
CDC42EP2,0.150921493
SLC25A45,7.20E-07
RNASEH2C,0.511931592
TIGD3,7.78E-11
SCYL1,0.007784407
DPF2,0.999787288
MAP3K11,0.170283101
POLA2,0.000215959
LTBP3,0.996034359
EHBP1L1,8.08E-07
KCNK7,6.43E-06
RELA,0.998828468
PCNXL3,0.488259802
CAPN1,5.00E-05
KAT5,0.471177719
FAM89B,0.029138465
SSSCA1,0.00200151
CCDC85B,0.491379558
FIBP,0.014722785
MUS81,1.58E-06
CFL1,0.731049775
CATSPER1,1.14E-08
GAL3ST3,1.25E-06
BANF1,0.739287243
CTSW,2.63E-07
EIF1AD,0.181571134
EFEMP2,0.028388164
FOSL1,0.289796027
OVOL1,0.676795694
DRAP1,0.21530625
AP5B1,6.97E-06
SF3B2,0.999459845
CST6,0.723124873
C11orf68,0.409498865
SNX32,2.73E-13
SART1,0.99255633
SLC29A2,1.32E-08
RAB1B,0.751684325
CTSF,1.33E-13
CTD-3074O7.11,2.03E-07
BRMS1,0.001076525
BBS1,1.78E-07
NPAS4,0.424264241
B3GNT1,0.159379727
PACS1,0.999906352
ZDHHC24,0.006140308
DPP3,4.36E-09
MRPL11,2.04E-05
CNIH2,0.894540207
RIN1,0.000202047
RP11-867G23.8,0.114175281
CD248,0.541815275
KLC2,0.997255173
TMEM151A,0.788175023
PELI3,0.027343382
YIF1A,2.08E-09
RBM4B,0.442246702
LRFN4,0.942092245
ANKRD13D,0.984538264
CCDC87,3.06E-06
RBM4,0.943908957
RHOD,0.20323506
SYT12,1.03E-05
C11orf80,0.008462596
SSH3,1.32E-07
RBM14,0.98790765
KDM2A,0.999999955
RBM14-RBM4,0.918848169
SPTBN2,0.999977957
PC,0.71643567
ADRBK1,0.998627979
RCE1,0.559303287
CCS,3.77E-06
POLD4,0.745036469
TBC1D10C,0.001609098
CARNS1,0.022129
CLCF1,0.860488104
NDUFV1,9.83E-05
GSTP1,0.115024063
CABP2,0.021209537
CABP4,1.84E-05
C11orf72,0.001049224
NUDT8,0.003288168
CDK2AP2,0.256474774
CORO1B,0.260249265
TMEM134,3.03E-08
GPR152,1.01E-05
RAD9A,0.002325378
AIP,0.673915914
PPP1CA,0.941508636
RPS6KB2,3.21E-11
PITPNM1,0.722090614
TBX10,2.15E-07
PTPRCAP,0.770195972
TPCN2,2.06E-06
GAL,0.000289003
LRP5,0.99835557
MRPL21,5.46E-08
MYEOV,0.001192906
UNC93B1,0.513837376
C11orf24,0.030766321
MTL5,0.033221402
SUV420H1,0.99993019
MRGPRF,0.370675551
ACY3,1.88E-07
CHKA,0.787088147
ALDH3B2,0.000359299
CPT1A,0.939139733
IGHMBP2,1.51E-08
ALDH3B1,3.94E-05
PPP6R3,0.995714714
MRGPRD,0.000404523
NDUFS8,0.014174502
TCIRG1,6.04E-06
CCND1,0.238186362
FGF3,0.033037217
KRTAP5-8,0.006907479
DHCR7,5.04E-08
SHANK2,0.99992017
KRTAP5-11,0.033567492
CTTN,0.215776883
ANO1,0.99308464
NADSYN1,2.45E-09
KRTAP5-7,0.581964461
KRTAP5-9,0.000861771
FADD,0.665952895
FGF4,0.750215678
KRTAP5-10,0.191708884
PPFIA1,0.999999874
FGF19,0.294076907
FAM86C1,1.48E-08
AP000867.1,0.028983163
ORAOV1,0.032990257
P2RY6,4.64E-07
PHOX2A,0.652575726
P2RY2,0.070471984
FOLR1,0.007410675
PDE2A,0.988417593
FOLR3,0.01086744
INPPL1,0.006089525
RNF121,0.972894709
LRTOMT,0.014564264
IL18BP,3.33E-06
NUMA1,0.999999245
DEFB108B,0.02354854
FOLR2,6.17E-07
FCHSD2,0.994752587
ATG16L2,8.94E-09
LAMTOR1,0.435675723
ARAP1,1.50E-05
ANAPC15,0.564413605
STARD10,0.051037146
CLPB,9.13E-06
CHRDL2,2.14E-05
DNAJB13,0.121954827
UCP2,1.92E-08
ARHGEF17,0.995257099
FAM168A,0.951667905
KCNE3,0.444435272
C2CD3,8.08E-10
PGM2L1,0.390476073
PPME1,0.92489377
UCP3,1.07E-05
MRPL48,0.138891985
POLD3,0.991394247
PLEKHB1,0.000703307
COA4,0.000586606
RAB6A,0.87776086
PAAF1,1.03E-06
RNF169,0.084139282
RELT,1.51E-05
P4HA3,1.60E-07
UVRAG,0.8586025
WNT11,0.118580135
GDPD5,0.069985124
DGAT2,7.51E-08
OR2AT4,0.046085153
NEU3,1.64E-06
KLHL35,1.35E-12
MOGAT2,0.218649113
C11orf30,0.999997097
SERPINH1,0.16655085
PRKRIR,0.968969189
MAP6,0.013166916
RPS3,0.957385986
ARRB1,0.986801821
LRRC32,0.021575526
SPCS2,0.725113281
SLCO2B1,0.003353563
XRRA1,4.25E-05
MYO7A,5.38E-25
USP35,0.043478464
GDPD4,9.33E-09
